clarinet, True, True
classroom, True, True
cliff, True, True
cloak, True, True
clock, True, True
clock_tower, True, True
CVML_UNKNOWN_185, False, True
clothesline, True, True
CVML_UNKNOWN_181, False, True
cloudy, True, True
clover, True, True
CVML_UNKNOWN_310, False, True
clownfish, True, True
cockatoo, True, True
coconut, True, True
coffee, True, True
coffee_bean, True, True
CVML_UNKNOWN_44, False, False
CVML_UNKNOWN_12, False, False
CVML_UNKNOWN_238, False, False
CVML_UNKNOWN_380, False, True
coin, True, True
CVML_UNKNOWN_304, False, True
CVML_UNKNOWN_169, False, False
collie, True, True
compass, True, True
CVML_UNKNOWN_166, False, False
computer_monitor, True, True
concert, True, True
conch, True, True
confection, True, True
convertible, True, True
cookie, True, True
CVML_UNKNOWN_13, False, False
corgi, True, True
corkscrew, True, True
corn, True, True
cornflower, True, True
CVML_UNKNOWN_368, False, False
CVML_UNKNOWN_250, False, True
cougar, True, True
CVML_UNKNOWN_347, False, False
CVML_UNKNOWN_100, False, False
cow, True, True
cowboy_hat, True, True
CVML_UNKNOWN_61, False, True
crab, True, True
CVML_UNKNOWN_206, False, False
CVML_UNKNOWN_272, False, False
cranberry, True, True
CVML_UNKNOWN_147, False, False
crate, True, True
credit_card, True, True
creek, True, True
crepe, True, True
crib, True, True
cricket_sport, True, True
crocodile, True, True
croissant, True, True
crosswalk, True, True
CVML_UNKNOWN_192, False, False
CVML_UNKNOWN_316, False, False
CVML_UNKNOWN_277, False, False
CVML_UNKNOWN_341, False, False
CVML_UNKNOWN_64, False, False
crutch, True, True
CVML_UNKNOWN_353, False, False
CVML_UNKNOWN_274, False, False
CVML_UNKNOWN_263, False, False
cup, True, True
cupcake, True, True
currency, True, True
curry, True, True
CVML_UNKNOWN_354, False, False
CVML_UNKNOWN_286, False, False
cycling, True, True
dachshund, True, True
daffodil, True, True
dahlia, True, True
CVML_UNKNOWN_393, False, False
daisy, True, True
dalmatian, True, True
dam, True, True
dandelion, True, True
dartboard, True, True
dashboard, True, True
decanter, True, True
deck, True, True
deejay, True, True
deer, True, True
desert, True, True
CVML_UNKNOWN_303, False, False
CVML_UNKNOWN_324, False, True
diaper, True, True
dice, True, True
CVML_UNKNOWN_371, False, False
CVML_UNKNOWN_337, False, False
dinosaur, True, True
CVML_UNKNOWN_28, False, False
disco_ball, True, True
diskette, True, True
CVML_UNKNOWN_148, False, False
diving, True, True
CVML_UNKNOWN_116, False, False
doberman, True, True
dock, True, True
doll, True, True
dolphin, True, True
dome, True, True
domino, True, True
donkey, True, True
donut, True, True
door, True, True
dove, True, True
CVML_UNKNOWN_89, False, True
dragonfly, True, True
CVML_UNKNOWN_72, False, False
dressage, True, True
CVML_UNKNOWN_149, False, False
driveway, True, True
drone_machine, True, True
drum, True, True
CVML_UNKNOWN_301, False, False
dumbbell, True, True
dumpling, True, True
CVML_UNKNOWN_228, False, False
durian, True, True
CVML_UNKNOWN_32, False, False
eagle, True, True
earmuffs, True, True
easel, True, True
easter_egg, True, True
edamame, True, True
eggplant, True, True
electric_fan, True, True
elephant, True, True
elevator, True, True
elk, True, True
embers, True, True
CVML_UNKNOWN_37, False, False
equestrian, True, True
escalator, True, True
CVML_UNKNOWN_99, False, False
CVML_UNKNOWN_384, False, False
extinguisher, True, True
fairground, True, True
CVML_UNKNOWN_308, False, False
falafel, True, True
farm, True, True
faucet, True, True
fedora, True, True
fence, True, True
CVML_UNKNOWN_160, False, False
CVML_UNKNOWN_260, False, False
ferret, True, True
ferris_wheel, True, True
fiddle, True, True
fig, True, True
firecracker, True, True
fireplace, True, True
fireworks, True, True
fishbowl, True, True
fishing, True, True
CVML_UNKNOWN_297, False, False
CVML_UNKNOWN_59, False, False
flagpole, True, True
flamingo, True, True
CVML_UNKNOWN_62, False, False
flashlight, True, True
CVML_UNKNOWN_24, False, False
CVML_UNKNOWN_230, False, False
flute, True, True
fondue, True, True
foosball, True, True
football, True, True
CVML_UNKNOWN_266, False, True
forest, True, True
fork, True, True
forklift, True, True
formula_one, True, True
fountain, True, True
fox, True, True
CVML_UNKNOWN_210, False, False
fried_chicken, True, True
fried_egg, True, True
fries, True, True
frisbee, True, True
frog, True, True
CVML_UNKNOWN_212, False, False
fruitcake, True, True
CVML_UNKNOWN_291, False, False
garage, True, True
CVML_UNKNOWN_8, False, False
CVML_UNKNOWN_344, False, True
garlic, True, True
gas_mask, True, True
CVML_UNKNOWN_101, False, False
gazebo, True, True
gears, True, True
gecko, True, True
CVML_UNKNOWN_292, False, False
generic_shoes, True, True
CVML_UNKNOWN_355, False, False
german_shepherd, True, True
geyser, True, True
CVML_UNKNOWN_39, False, False
CVML_UNKNOWN_249, False, False
gingerbread, True, True
CVML_UNKNOWN_194, False, False
giraffe, True, True
glacier, True, True
gloves, True, True
go_kart, True, True
goat, True, True
CVML_UNKNOWN_287, False, False
goldfish, True, True
golf_ball, True, True
golf_club, True, True
golf_course, True, True
gown, True, True
graduation, True, True
graffiti, True, True
grand_prix, True, True
grape, True, True
grapefruit, True, True
CVML_UNKNOWN_156, False, True
CVML_UNKNOWN_189, False, False
grater, True, True
grave, True, True
green_beans, True, True
CVML_UNKNOWN_232, False, False
greenhouse, True, True
CVML_UNKNOWN_150, False, False
greyhound, True, True
grill, True, True
grilled_chicken, True, True
groom, True, True
guacamole, True, True
guava, True, True
guitar, True, True
gull, True, True
CVML_UNKNOWN_126, False, True
CVML_UNKNOWN_317, False, False
gyoza, True, True
habanero, True, True
CVML_UNKNOWN_386, False, False
CVML_UNKNOWN_87, False, False
ham, True, True
hamburger, True, True
hammer, True, True
hammock, True, True
hamster, True, True
CVML_UNKNOWN_264, False, False
CVML_UNKNOWN_187, False, False
CVML_UNKNOWN_163, False, True
CVML_UNKNOWN_73, False, False
CVML_UNKNOWN_15, False, True
hardhat, True, True
CVML_UNKNOWN_125, False, True
headphones, True, True
CVML_UNKNOWN_4, False, True
CVML_UNKNOWN_157, False, False
hedgehog, True, True
helicopter, True, True
helmet, True, True
henna, True, True
heron, True, True
CVML_UNKNOWN_48, False, True
high_chair, True, True
high_heels, True, True
CVML_UNKNOWN_71, False, True
hippopotamus, True, True
hockey, True, True
holly, True, True
CVML_UNKNOWN_351, False, False
honey, True, True
honeydew, True, True
CVML_UNKNOWN_146, False, True
hookah, True, True
horse, True, True
CVML_UNKNOWN_241, False, False
horseshoe, True, True
CVML_UNKNOWN_327, False, False
CVML_UNKNOWN_53, False, False
hotdog, True, True
CVML_UNKNOWN_158, False, False
hourglass, True, True
house, True, True
houseboat, True, True
CVML_UNKNOWN_224, False, False
hula, True, True
hummingbird, True, True
hummus, True, True
hunting, True, True
hurdle, True, True
husky, True, True
hydrant, True, True
